고객ID,고객명,Tier,업종,손익코드,손익명,매출코드,매출명,고객소통명,25년매출,26년매출,대분류,중분류,AX구분_대,AX구분_중,AI Stack
cust027,고객 027,Tier3,온라인/IT,K10,손익015,K13,상품024,상품_대외용_014,627495,479154,대분류004,중분류014,Legacy,Infra,NW Infra
cust027,고객 027,Tier3,온라인/IT,K14,손익016,K14,상품025,상품_대외용_015,2885488,4457773,대분류004,중분류014,Legacy,Infra,NW Infra
cust027,고객 027,Tier3,온라인/IT,L10,손익017,L11,상품026,상품_대외용_016,701783396,355054307,대분류004,중분류015,Legacy,Infra,NW Infra
cust027,고객 027,Tier3,온라인/IT,V10,손익018,V11,상품027,상품_대외용_017,17832739,9127265,대분류002,중분류002,Legacy,Infra,NW Infra
cust027,고객 027,Tier3,온라인/IT,X10,손익019,X11,상품028,상품_대외용_018,673972738,43433567,대분류004,중분류016,Legacy,Infra,NW Infra
cust001,고객 001,Tier1,온라인/IT,A30,손익009,A32,상품011,상품_대외용_003,59951867,31728099,대분류004,중분류008,Legacy,Infra,NW Infra
cust001,고객 001,Tier1,온라인/IT,A30,손익009,A33,상품029,상품_대외용_019,19207480,25690513,대분류004,중분류008,Legacy,Infra,NW Infra
cust001,고객 001,Tier1,온라인/IT,B30,손익012,B32,상품014,상품_대외용_006,666339769,788379160,대분류004,중분류011,Legacy,Infra,NW Infra
cust001,고객 001,Tier1,온라인/IT,B36,손익020,B36,상품030,상품_대외용_020,4588457,3060000,대분류002,중분류002,Legacy,Infra,NW Infra
cust001,고객 001,Tier1,온라인/IT,B38,손익013,B48,상품031,상품_대외용_021,0,0,대분류004,중분류012,Legacy,Application,AI Platform
cust001,고객 001,Tier1,온라인/IT,B50,손익021,B51,상품032,상품_대외용_022,240000,120000,대분류002,중분류004,Legacy,Infra,NW Infra
cust001,고객 001,Tier1,온라인/IT,D20,손익001,D21,상품016,상품_대외용_008,33093386907,16415709034,대분류001,중분류001,AX,Infra,AI Infra
cust001,고객 001,Tier1,온라인/IT,D20,손익001,D23,상품033,상품_대외용_023,825102,198585,대분류001,중분류001,AX,Infra,AI Infra
cust001,고객 001,Tier1,온라인/IT,E20,손익006,E25,상품019,상품_대외용_011,96000,48000,대분류004,중분류006,Legacy,Application,Application
cust001,고객 001,Tier1,온라인/IT,E30,손익014,E32,상품021,상품_대외용_013,25348,0,대분류004,중분류013,Legacy,Application,Application
cust001,고객 001,Tier1,온라인/IT,E30,손익014,E34,상품020,상품_대외용_012,495736968,258105317,대분류004,중분류013,Legacy,Application,Application
cust001,고객 001,Tier1,온라인/IT,E30,손익014,E31,상품022,상품_대외용_013,2400022,1200000,대분류004,중분류013,Legacy,Application,Application
cust001,고객 001,Tier1,온라인/IT,K10,손익015,K11,상품023,상품_대외용_014,1015352,375816,대분류004,중분류014,Legacy,Infra,NW Infra
cust001,고객 001,Tier1,온라인/IT,K10,손익015,K13,상품024,상품_대외용_014,56,0,대분류004,중분류014,Legacy,Infra,NW Infra
cust001,고객 001,Tier1,온라인/IT,K14,손익016,K14,상품025,상품_대외용_015,32544969,16339194,대분류004,중분류014,Legacy,Infra,NW Infra
cust001,고객 001,Tier1,온라인/IT,L10,손익017,L11,상품026,상품_대외용_016,1829447156,946268970,대분류004,중분류015,Legacy,Infra,NW Infra
cust001,고객 001,Tier1,온라인/IT,L30,손익022,L31,상품034,상품_대외용_024,93700000,45000000,대분류004,중분류015,Legacy,Infra,NW Infra
cust001,고객 001,Tier1,온라인/IT,M20,손익023,M21,상품035,상품_대외용_025,824087,455400,대분류005,중분류017,Legacy,Infra,NW Infra
cust001,고객 001,Tier1,온라인/IT,T10,손익008,T11,상품010,상품_대외용_002,619360,0,대분류002,중분류002,Legacy,Application,Application
cust002,고객 002,Tier1,대기업,A30,손익009,A32,상품011,상품_대외용_003,118538640,53491227,대분류004,중분류008,Legacy,Infra,NW Infra
cust002,고객 002,Tier1,대기업,A30,손익009,A33,상품029,상품_대외용_019,136082,49829,대분류004,중분류008,Legacy,Infra,NW Infra
cust002,고객 002,Tier1,대기업,A36,손익011,A36,상품013,상품_대외용_005,690074551,227411000,대분류003,중분류010,AX,Application,AI Model
cust002,고객 002,Tier1,대기업,B30,손익012,B32,상품014,상품_대외용_006,1392733818,664762214,대분류004,중분류011,Legacy,Infra,NW Infra
cust002,고객 002,Tier1,대기업,B36,손익020,B36,상품030,상품_대외용_020,632443818,309017899,대분류002,중분류002,Legacy,Infra,NW Infra
cust002,고객 002,Tier1,대기업,B38,손익013,B48,상품031,상품_대외용_021,151829674,7453548,대분류004,중분류012,Legacy,Application,AI Platform
cust002,고객 002,Tier1,대기업,B38,손익013,B38,상품015,상품_대외용_007,113057652,53470174,대분류004,중분류012,Legacy,Application,AI Platform
cust002,고객 002,Tier1,대기업,B38,손익013,B49,상품036,상품_대외용_007,27079406,11591666,대분류004,중분류012,Legacy,Application,AI Platform
cust002,고객 002,Tier1,대기업,B50,손익021,B51,상품032,상품_대외용_022,19103344,12415596,대분류002,중분류004,Legacy,Infra,NW Infra
cust002,고객 002,Tier1,대기업,D20,손익001,D21,상품016,상품_대외용_008,74726134,42740962,대분류001,중분류001,AX,Infra,AI Infra
cust002,고객 002,Tier1,대기업,D20,손익001,D23,상품033,상품_대외용_023,21437400,2771631,대분류001,중분류001,AX,Infra,AI Infra
cust002,고객 002,Tier1,대기업,E20,손익006,E26,상품017,상품_대외용_009,428800,211600,대분류004,중분류006,Legacy,Application,Application
cust002,고객 002,Tier1,대기업,E20,손익006,E22,상품018,상품_대외용_010,0,0,대분류004,중분류006,Legacy,Application,Application
cust002,고객 002,Tier1,대기업,E30,손익014,E32,상품021,상품_대외용_013,870651335,1113219852,대분류004,중분류013,Legacy,Application,Application
cust002,고객 002,Tier1,대기업,E30,손익014,E34,상품020,상품_대외용_012,1022414899,466601217,대분류004,중분류013,Legacy,Application,Application
cust002,고객 002,Tier1,대기업,E30,손익014,E31,상품022,상품_대외용_013,210781291,62486875,대분류004,중분류013,Legacy,Application,Application
cust002,고객 002,Tier1,대기업,E40,손익024,E41,상품037,상품_대외용_026,156000,78000,대분류004,중분류006,Legacy,Application,Application
cust002,고객 002,Tier1,대기업,E63,손익025,E63,상품038,상품_대외용_027,319189000,287600000,대분류005,중분류018,Legacy,Application,NW Infra
cust002,고객 002,Tier1,대기업,K10,손익015,K12,상품039,상품_대외용_014,75000,0,대분류004,중분류014,Legacy,Infra,NW Infra
cust002,고객 002,Tier1,대기업,K10,손익015,K11,상품023,상품_대외용_014,15032128,8596565,대분류004,중분류014,Legacy,Infra,NW Infra
cust002,고객 002,Tier1,대기업,K10,손익015,K13,상품024,상품_대외용_014,31963,38945,대분류004,중분류014,Legacy,Infra,NW Infra
cust002,고객 002,Tier1,대기업,K14,손익016,K14,상품025,상품_대외용_015,334452515,221778121,대분류004,중분류014,Legacy,Infra,NW Infra
cust002,고객 002,Tier1,대기업,L10,손익017,L11,상품026,상품_대외용_016,12524925160,6094770655,대분류004,중분류015,Legacy,Infra,NW Infra
cust002,고객 002,Tier1,대기업,L10,손익017,L13,상품040,상품_대외용_028,15567436,6756512,대분류004,중분류015,Legacy,Infra,NW Infra
cust002,고객 002,Tier1,대기업,L30,손익022,L31,상품034,상품_대외용_024,1234390000,471000000,대분류004,중분류015,Legacy,Infra,NW Infra
cust002,고객 002,Tier1,대기업,L30,손익022,L34,상품041,상품_대외용_016,45006976,38372394,대분류004,중분류015,Legacy,Infra,NW Infra
cust002,고객 002,Tier1,대기업,L30,손익022,L33,상품042,상품_대외용_029,16740000,8370000,대분류004,중분류015,Legacy,Infra,NW Infra
cust002,고객 002,Tier1,대기업,M20,손익023,M21,상품035,상품_대외용_025,12890500,8026370,대분류005,중분류017,Legacy,Infra,NW Infra
cust002,고객 002,Tier1,대기업,T10,손익008,T11,상품010,상품_대외용_002,1730939,0,대분류002,중분류002,Legacy,Application,Application
cust002,고객 002,Tier1,대기업,T12,손익026,T12,상품043,상품_대외용_030,971052,420526,대분류002,중분류004,Legacy,Application,Application
cust002,고객 002,Tier1,대기업,T30,손익007,T37,상품007,상품_대외용_001,6270000,270000,대분류005,중분류007,Legacy,Infra,Application
cust002,고객 002,Tier1,대기업,V10,손익018,V11,상품027,상품_대외용_017,125370866,54795660,대분류002,중분류002,Legacy,Infra,NW Infra
cust002,고객 002,Tier1,대기업,V15,손익027,V15,상품044,상품_대외용_031,155693,65176,대분류002,중분류004,Legacy,Infra,NW Infra
cust002,고객 002,Tier1,대기업,V15,손익027,V16,상품045,상품_대외용_031,577533,594195,대분류002,중분류004,Legacy,Infra,NW Infra
cust002,고객 002,Tier1,대기업,W14,손익028,W14,상품046,상품_대외용_014,75000,0,대분류004,중분류014,Legacy,Infra,NW Infra
cust002,고객 002,Tier1,대기업,W14,손익028,W15,상품047,상품_대외용_014,38014,0,대분류004,중분류014,Legacy,Infra,NW Infra
cust002,고객 002,Tier1,대기업,X10,손익019,X11,상품028,상품_대외용_018,0,7910000,대분류004,중분류016,Legacy,Infra,NW Infra
cust028,고객 028,Tier3,글로벌,L10,손익017,L11,상품026,상품_대외용_016,16080000,8040000,대분류004,중분류015,Legacy,Infra,NW Infra
cust028,고객 028,Tier3,글로벌,L30,손익022,L34,상품041,상품_대외용_016,14400000,7200000,대분류004,중분류015,Legacy,Infra,NW Infra
cust003,고객 003,Tier2,온라인/IT,A30,손익009,A31,상품048,상품_대외용_032,3776156,2236031,대분류004,중분류008,Legacy,Infra,NW Infra
cust003,고객 003,Tier2,온라인/IT,A30,손익009,A32,상품011,상품_대외용_003,297411379,48351994,대분류004,중분류008,Legacy,Infra,NW Infra
cust003,고객 003,Tier2,온라인/IT,A30,손익009,A33,상품029,상품_대외용_019,37141000,26583825,대분류004,중분류008,Legacy,Infra,NW Infra
cust003,고객 003,Tier2,온라인/IT,A35,손익010,A35,상품012,상품_대외용_004,60965973,32074224,대분류003,중분류009,AX,Application,AI Model
cust003,고객 003,Tier2,온라인/IT,B30,손익012,B32,상품014,상품_대외용_006,93190000,85917386,대분류004,중분류011,Legacy,Infra,NW Infra
cust003,고객 003,Tier2,온라인/IT,B36,손익020,B36,상품030,상품_대외용_020,1080000,540000,대분류002,중분류002,Legacy,Infra,NW Infra
cust003,고객 003,Tier2,온라인/IT,D20,손익001,D21,상품016,상품_대외용_008,10716709172,6211666916,대분류001,중분류001,AX,Infra,AI Infra
cust003,고객 003,Tier2,온라인/IT,E30,손익014,E31,상품022,상품_대외용_013,518796,296840,대분류004,중분류013,Legacy,Application,Application
cust003,고객 003,Tier2,온라인/IT,E30,손익014,E34,상품020,상품_대외용_012,848182585,431767760,대분류004,중분류013,Legacy,Application,Application
cust003,고객 003,Tier2,온라인/IT,K10,손익015,K11,상품023,상품_대외용_014,62572701,0,대분류004,중분류014,Legacy,Infra,NW Infra
cust003,고객 003,Tier2,온라인/IT,K14,손익016,K14,상품025,상품_대외용_015,1744924,0,대분류004,중분류014,Legacy,Infra,NW Infra
cust003,고객 003,Tier2,온라인/IT,L10,손익017,L11,상품026,상품_대외용_016,1018883485,537754281,대분류004,중분류015,Legacy,Infra,NW Infra
cust003,고객 003,Tier2,온라인/IT,M20,손익023,M21,상품035,상품_대외용_025,270000,135000,대분류005,중분류017,Legacy,Infra,NW Infra
cust003,고객 003,Tier2,온라인/IT,V10,손익018,V11,상품027,상품_대외용_017,320139,160039,대분류002,중분류002,Legacy,Infra,NW Infra
cust004,고객 004,Tier3,금융,A30,손익009,A32,상품011,상품_대외용_003,9093892,5013728,대분류004,중분류008,Legacy,Infra,NW Infra
cust004,고객 004,Tier3,금융,B30,손익012,B32,상품014,상품_대외용_006,329910605,163857351,대분류004,중분류011,Legacy,Infra,NW Infra
cust004,고객 004,Tier3,금융,B36,손익020,B36,상품030,상품_대외용_020,27048991,14281745,대분류002,중분류002,Legacy,Infra,NW Infra
cust004,고객 004,Tier3,금융,D20,손익001,D21,상품016,상품_대외용_008,5156665114,2633555381,대분류001,중분류001,AX,Infra,AI Infra
cust004,고객 004,Tier3,금융,E20,손익006,E26,상품017,상품_대외용_009,47520,23760,대분류004,중분류006,Legacy,Application,Application
cust004,고객 004,Tier3,금융,E30,손익014,E31,상품022,상품_대외용_013,17724995,29181630,대분류004,중분류013,Legacy,Application,Application
cust004,고객 004,Tier3,금융,K14,손익016,K14,상품025,상품_대외용_015,103301402,55123950,대분류004,중분류014,Legacy,Infra,NW Infra
cust004,고객 004,Tier3,금융,L10,손익017,L11,상품026,상품_대외용_016,4225191808,2114318844,대분류004,중분류015,Legacy,Infra,NW Infra
cust004,고객 004,Tier3,금융,L30,손익022,L31,상품034,상품_대외용_024,168108775,84134656,대분류004,중분류015,Legacy,Infra,NW Infra
cust004,고객 004,Tier3,금융,M20,손익023,M21,상품035,상품_대외용_025,0,0,대분류005,중분류017,Legacy,Infra,NW Infra
cust029,고객 029,Tier3,글로벌,B30,손익012,B32,상품014,상품_대외용_006,8163476554,6151921473,대분류004,중분류011,Legacy,Infra,NW Infra
cust029,고객 029,Tier3,글로벌,K10,손익015,K11,상품023,상품_대외용_014,4205292,2092836,대분류004,중분류014,Legacy,Infra,NW Infra
cust029,고객 029,Tier3,글로벌,K14,손익016,K14,상품025,상품_대외용_015,160628001,105983841,대분류004,중분류014,Legacy,Infra,NW Infra
cust029,고객 029,Tier3,글로벌,L30,손익022,L31,상품034,상품_대외용_024,241704000,120852000,대분류004,중분류015,Legacy,Infra,NW Infra
cust030,고객 030,Tier3,글로벌,B30,손익012,B32,상품014,상품_대외용_006,30730126,45216121,대분류004,중분류011,Legacy,Infra,NW Infra
cust030,고객 030,Tier3,글로벌,B30,손익012,B35,상품049,상품_대외용_033,51076265,36731082,대분류004,중분류011,Legacy,Infra,NW Infra
cust030,고객 030,Tier3,글로벌,D20,손익001,D21,상품016,상품_대외용_008,1059023219,590579299,대분류001,중분류001,AX,Infra,AI Infra
cust030,고객 030,Tier3,글로벌,K14,손익016,K14,상품025,상품_대외용_015,34383076,20537100,대분류004,중분류014,Legacy,Infra,NW Infra
cust030,고객 030,Tier3,글로벌,L10,손익017,L11,상품026,상품_대외용_016,1523094040,723220215,대분류004,중분류015,Legacy,Infra,NW Infra
cust030,고객 030,Tier3,글로벌,L30,손익022,L31,상품034,상품_대외용_024,2605136417,1681499986,대분류004,중분류015,Legacy,Infra,NW Infra
cust005,고객 005,Tier1,글로벌,B30,손익012,B32,상품014,상품_대외용_006,1158300000,711312256,대분류004,중분류011,Legacy,Infra,NW Infra
cust005,고객 005,Tier1,글로벌,B36,손익020,B36,상품030,상품_대외용_020,594000,297000,대분류002,중분류002,Legacy,Infra,NW Infra
cust005,고객 005,Tier1,글로벌,D20,손익001,D22,상품050,상품_대외용_034,1920000,960000,대분류001,중분류001,AX,Infra,AI Infra
cust005,고객 005,Tier1,글로벌,D20,손익001,D21,상품016,상품_대외용_008,41662754242,21811446353,대분류001,중분류001,AX,Infra,AI Infra
cust005,고객 005,Tier1,글로벌,E40,손익024,E41,상품037,상품_대외용_026,748440,374220,대분류004,중분류006,Legacy,Application,Application
cust005,고객 005,Tier1,글로벌,K10,손익015,K11,상품023,상품_대외용_014,53247,26844,대분류004,중분류014,Legacy,Infra,NW Infra
cust005,고객 005,Tier1,글로벌,L10,손익017,L11,상품026,상품_대외용_016,21308260931,10625058016,대분류004,중분류015,Legacy,Infra,NW Infra
cust005,고객 005,Tier1,글로벌,L30,손익022,L31,상품034,상품_대외용_024,985341945,0,대분류004,중분류015,Legacy,Infra,NW Infra
cust005,고객 005,Tier1,글로벌,M20,손익023,M21,상품035,상품_대외용_025,97600,48840,대분류005,중분류017,Legacy,Infra,NW Infra
cust005,고객 005,Tier1,글로벌,V10,손익018,V11,상품027,상품_대외용_017,139669,70031,대분류002,중분류002,Legacy,Infra,NW Infra
cust006,고객 006,Tier1,글로벌,A30,손익009,A32,상품011,상품_대외용_003,1170691,586192,대분류004,중분류008,Legacy,Infra,NW Infra
cust006,고객 006,Tier1,글로벌,B30,손익012,B32,상품014,상품_대외용_006,16098413200,8729442500,대분류004,중분류011,Legacy,Infra,NW Infra
cust006,고객 006,Tier1,글로벌,D20,손익001,D21,상품016,상품_대외용_008,24252738148,11340501703,대분류001,중분류001,AX,Infra,AI Infra
cust006,고객 006,Tier1,글로벌,K10,손익015,K11,상품023,상품_대외용_014,426525,214765,대분류004,중분류014,Legacy,Infra,NW Infra
cust006,고객 006,Tier1,글로벌,K10,손익015,K13,상품024,상품_대외용_014,93,0,대분류004,중분류014,Legacy,Infra,NW Infra
cust006,고객 006,Tier1,글로벌,K14,손익016,K14,상품025,상품_대외용_015,158853488,79309587,대분류004,중분류014,Legacy,Infra,NW Infra
cust006,고객 006,Tier1,글로벌,L10,손익017,L11,상품026,상품_대외용_016,4363592200,2365459200,대분류004,중분류015,Legacy,Infra,NW Infra
cust006,고객 006,Tier1,글로벌,L30,손익022,L33,상품042,상품_대외용_029,578400000,295400000,대분류004,중분류015,Legacy,Infra,NW Infra
cust007,고객 007,Tier1,글로벌,D20,손익001,D21,상품016,상품_대외용_008,25843879258,12993382620,대분류001,중분류001,AX,Infra,AI Infra
cust007,고객 007,Tier1,글로벌,L10,손익017,L11,상품026,상품_대외용_016,5177682176,2755676325,대분류004,중분류015,Legacy,Infra,NW Infra
cust031,고객 031,Tier1,글로벌,L10,손익017,L11,상품026,상품_대외용_016,5286000,3060000,대분류004,중분류015,Legacy,Infra,NW Infra
cust031,고객 031,Tier1,글로벌,T35,손익029,T35,상품051,상품_대외용_035,18066579784,6141060833,대분류006,중분류019,Legacy,Application,NW Infra
cust008,고객 008,Tier3,글로벌,A30,손익009,A31,상품048,상품_대외용_032,192754,107698,대분류004,중분류008,Legacy,Infra,NW Infra
cust008,고객 008,Tier3,글로벌,A30,손익009,A32,상품011,상품_대외용_003,23243025,11178702,대분류004,중분류008,Legacy,Infra,NW Infra
cust008,고객 008,Tier3,글로벌,A30,손익009,A33,상품029,상품_대외용_019,394452205,201429689,대분류004,중분류008,Legacy,Infra,NW Infra
cust008,고객 008,Tier3,글로벌,A37,손익030,A37,상품052,상품_대외용_036,20640000,0,대분류002,중분류002,Legacy,Application,Application
cust008,고객 008,Tier3,글로벌,B30,손익012,B32,상품014,상품_대외용_006,18799032754,9190356117,대분류004,중분류011,Legacy,Infra,NW Infra
cust008,고객 008,Tier3,글로벌,B36,손익020,B36,상품030,상품_대외용_020,58778880,8174277,대분류002,중분류002,Legacy,Infra,NW Infra
cust008,고객 008,Tier3,글로벌,B50,손익021,B51,상품032,상품_대외용_022,2910600,1480300,대분류002,중분류004,Legacy,Infra,NW Infra
cust008,고객 008,Tier3,글로벌,D20,손익001,D23,상품033,상품_대외용_023,0,0,대분류001,중분류001,AX,Infra,AI Infra
cust008,고객 008,Tier3,글로벌,E20,손익006,E26,상품017,상품_대외용_009,48000,24000,대분류004,중분류006,Legacy,Application,Application
cust008,고객 008,Tier3,글로벌,E30,손익014,E31,상품022,상품_대외용_013,6500000,4000000,대분류004,중분류013,Legacy,Application,Application
cust008,고객 008,Tier3,글로벌,K10,손익015,K13,상품024,상품_대외용_014,1494563,732816,대분류004,중분류014,Legacy,Infra,NW Infra
cust008,고객 008,Tier3,글로벌,K10,손익015,K11,상품023,상품_대외용_014,222754407,92243848,대분류004,중분류014,Legacy,Infra,NW Infra
cust008,고객 008,Tier3,글로벌,K14,손익016,K14,상품025,상품_대외용_015,3314764,276253,대분류004,중분류014,Legacy,Infra,NW Infra
cust008,고객 008,Tier3,글로벌,L10,손익017,L11,상품026,상품_대외용_016,1576692117,887388254,대분류004,중분류015,Legacy,Infra,NW Infra
cust008,고객 008,Tier3,글로벌,L30,손익022,L31,상품034,상품_대외용_024,76011188,6849286,대분류004,중분류015,Legacy,Infra,NW Infra
cust008,고객 008,Tier3,글로벌,M20,손익023,M21,상품035,상품_대외용_025,1233655422,537925139,대분류005,중분류017,Legacy,Infra,NW Infra
cust008,고객 008,Tier3,글로벌,T10,손익008,T11,상품010,상품_대외용_002,1612406019,0,대분류002,중분류002,Legacy,Application,Application
cust008,고객 008,Tier3,글로벌,V10,손익018,V11,상품027,상품_대외용_017,375082548,92234928,대분류002,중분류002,Legacy,Infra,NW Infra
cust008,고객 008,Tier3,글로벌,V15,손익027,V15,상품044,상품_대외용_031,77342,36798,대분류002,중분류004,Legacy,Infra,NW Infra
cust008,고객 008,Tier3,글로벌,W14,손익028,W15,상품047,상품_대외용_014,83205157,45789814,대분류004,중분류014,Legacy,Infra,NW Infra
cust008,고객 008,Tier3,글로벌,X10,손익019,X11,상품028,상품_대외용_018,17977000,30360000,대분류004,중분류016,Legacy,Infra,NW Infra
cust032,고객 032,Tier3,금융,A30,손익009,A33,상품029,상품_대외용_019,1995217631,1114520398,대분류004,중분류008,Legacy,Infra,NW Infra
cust032,고객 032,Tier3,금융,A30,손익009,A31,상품048,상품_대외용_032,1004291751,489215210,대분류004,중분류008,Legacy,Infra,NW Infra
cust032,고객 032,Tier3,금융,A30,손익009,A32,상품011,상품_대외용_003,1133604022,563691461,대분류004,중분류008,Legacy,Infra,NW Infra
cust032,고객 032,Tier3,금융,A35,손익010,A35,상품012,상품_대외용_004,602539501,232452445,대분류003,중분류009,AX,Application,AI Model
cust032,고객 032,Tier3,금융,A36,손익011,A36,상품013,상품_대외용_005,796248000,398124000,대분류003,중분류010,AX,Application,AI Model
cust032,고객 032,Tier3,금융,B30,손익012,B32,상품014,상품_대외용_006,219156000,121578000,대분류004,중분류011,Legacy,Infra,NW Infra
